Preexisting_strain_ratio;Hogging;FRP_thickness_mm;ratio_of_strain;B_Nmm2;M_Nmm;kappa_mm_1
0;FALSE;0.3;0.000000001;-9165431362948.04;-0.316802;0.00000000000003456485
0;FALSE;0.3;0.1;-9056113877475.14;-31302321.410086;0.00000345648495961860
0;FALSE;0.3;0.2;-8946796390909.07;-61848934.323894;0.00000691296991923720
0;FALSE;0.3;0.3;-8837478904343.00;-91639838.741425;0.00001036945487885580
0;FALSE;0.3;0.4;-8728161417776.93;-120675034.662677;0.00001382593983847440
0;FALSE;0.3;0.5;-8618843931210.86;-148954522.087652;0.00001728242479809300
0;FALSE;0.3;0.6;-8509526444644.79;-176478301.016349;0.00002073890975771160
0;FALSE;0.3;0.7;-8400208958078.72;-203246371.448768;0.00002419539471733020
0;FALSE;0.3;0.8;-8290891471512.65;-229258733.384909;0.00002765187967694880
0;FALSE;0.3;0.9;-8181573984946.58;-254515386.824772;0.00003110836463656740
0;FALSE;0.3;1;-8072256498380.51;-279016331.768357;0.00003456484959618600
0;FALSE;2;0.000000001;-15781577182371.00;-0.545488;0.00000000000003456485
0;FALSE;2;0.1;-15672259696898.10;-54170929.925565;0.00000345648495961860
0;FALSE;2;0.2;-15562942210332.00;-107586151.354852;0.00000691296991923720
0;FALSE;2;0.3;-15453624723765.90;-160245664.287861;0.00001036945487885580
0;FALSE;2;0.4;-15344307237199.80;-212149468.724592;0.00001382593983847440
0;FALSE;2;0.5;-15234989750633.80;-263297564.665046;0.00001728242479809300
0;FALSE;2;0.6;-15125672264067.70;-313689952.109221;0.00002073890975771160
0;FALSE;2;0.7;-15016354777501.60;-363326631.057119;0.00002419539471733020
0;FALSE;2;0.8;-14907037290935.60;-412207601.508739;0.00002765187967694880
0;FALSE;2;0.9;-14797719804369.50;-460332863.464081;0.00003110836463656740
0;FALSE;2;1;-14688402317803.40;-507702416.923145;0.00003456484959618600
0;FALSE;9;0.000000001;-43024530556465.30;-1.487136;0.00000000000003456485
0;FALSE;9;0.1;-42915213070992.40;-148335788.518713;0.00000345648495961860
0;FALSE;9;0.2;-42805895584426.40;-295915868.541148;0.00000691296991923720
0;FALSE;9;0.3;-42696578097860.30;-442740240.067305;0.00001036945487885580
0;FALSE;9;0.4;-42587260611294.20;-588808903.097184;0.00001382593983847440
0;FALSE;9;0.5;-42477943124728.10;-734121857.630786;0.00001728242479809300
0;FALSE;9;0.6;-42368625638162.10;-878679103.668109;0.00002073890975771160
0;FALSE;9;0.7;-42259308151596.00;-1022480641.209150;0.00002419539471733020
0;FALSE;9;0.8;-42149990665029.90;-1165526470.253920;0.00002765187967694880
0;FALSE;9;0.9;-42040673178463.90;-1307816590.802410;0.00003110836463656740
0;FALSE;9;1;-41931355691897.80;-1449351002.854620;0.00003456484959618600
0.25;FALSE;0.3;0.000000001;5852950738117490000000.00;202306361.956917;0.00000000000003456485
0.25;FALSE;0.3;0.1;-8795894433228.68;-30402876.814848;0.00000345648495961860
0.25;FALSE;0.3;0.2;-10488943972227.60;-72509754.164574;0.00000691296991923720
0.25;FALSE;0.3;0.3;-9941358660256.61;-103086470.062053;0.00001036945487885580
0.25;FALSE;0.3;0.4;-9497781999925.13;-131315762.529910;0.00001382593983847440
0.25;FALSE;0.3;0.5;-9161276410412.06;-158329070.617490;0.00001728242479809300
0.25;FALSE;0.3;0.6;-8891769289529.08;-184405600.881935;0.00002073890975771160
0.25;FALSE;0.3;0.7;-8664501986295.71;-209641045.587516;0.00002419539471733020
0.25;FALSE;0.3;0.8;-8465055376907.36;-234074692.740951;0.00002765187967694880
0.25;FALSE;0.3;0.9;-8284803483092.63;-257726687.694349;0.00003110836463656740
0.25;FALSE;0.3;1;-8118255165324.96;-280606268.772917;0.00003456484959618600
0.5;FALSE;0.3;0.000000001;10396207237270600000000.00;359343339.527039;0.00000000000003456485
0.5;FALSE;0.3;0.1;21097258387569.70;72922356.305822;0.00000345648495961860
0.5;FALSE;0.3;0.2;-7880346696758.10;-54476599.667849;0.00000691296991923720
0.5;FALSE;0.3;0.3;-9594868206450.08;-99493552.935352;0.00001036945487885580
0.5;FALSE;0.3;0.4;-9525329225415.35;-131696628.812255;0.00001382593983847440
0.5;FALSE;0.3;0.5;-9238015152553.49;-159655302.157649;0.00001728242479809300
0.5;FALSE;0.3;0.6;-8943888649624.12;-185486499.587576;0.00002073890975771160
0.5;FALSE;0.3;0.7;-8675742241103.13;-209913007.989305;0.00002419539471733020
0.5;FALSE;0.3;0.8;-8434824416107.44;-233238749.850393;0.00002765187967694880
0.5;FALSE;0.3;0.9;-8216687878184.63;-255607722.619431;0.00003110836463656740
0.5;FALSE;0.3;1;-8016710435048.76;-277096390.443635;0.00003456484959618600
0.75;FALSE;0.3;0.01;13629769388944500000000.00;471110928.959566;0.00000000000003456485
0.75;FALSE;0.3;0.1;73579107739329.10;254325079.243147;0.00000345648495961860
0.75;FALSE;0.3;0.2;1691012221986.93;11689916.623658;0.00000691296991923720
0.75;FALSE;0.3;0.3;-6964798960287.51;-72221168.559003;0.00001036945487885580
0.75;FALSE;0.3;0.4;-8459215708429.36;-116956607.465422;0.00001382593983847440
0.75;FALSE;0.3;0.5;-8669082208857.98;-149822761.343074;0.00001728242479809300
0.75;FALSE;0.3;0.6;-8561714478603.13;-177560623.943043;0.00002073890975771160
0.75;FALSE;0.3;0.7;-8368372593309.73;-202476078.036817;0.00002419539471733020
0.75;FALSE;0.3;0.8;-8156262374233.07;-225535985.785918;0.00002765187967694880
0.75;FALSE;0.3;0.9;-7946418638991.62;-247200088.576567;0.00003110836463656740
0.75;FALSE;0.3;1;-7745189517781.81;-267711310.776085;0.00003456484959618600
0.25;FALSE;2;0.01;5852950731501340000000.00;202306361.728231;0.00000000000003456485
0.25;FALSE;2;0.1;-15412040252651.60;-53271485.330327;0.00000345648495961860
0.25;FALSE;2;0.2;-17105089791650.50;-118246971.195531;0.00000691296991923720
0.25;FALSE;2;0.3;-16557504479679.50;-171692295.608490;0.00001036945487885580
0.25;FALSE;2;0.4;-16113927819348.10;-222790196.591825;0.00001382593983847440
0.25;FALSE;2;0.5;-15777422229835.00;-272672113.194884;0.00001728242479809300
0.25;FALSE;2;0.6;-15507915108952.00;-321617251.974808;0.00002073890975771160
0.25;FALSE;2;0.7;-15280647805718.60;-369721305.195868;0.00002419539471733020
0.25;FALSE;2;0.8;-15081201196330.30;-417023560.864781;0.00002765187967694880
0.25;FALSE;2;0.9;-14900949302515.60;-463544164.333658;0.00003110836463656740
0.25;FALSE;2;1;-14734400984747.90;-509292353.927705;0.00003456484959618600
0.5;FALSE;2;0.01;10396207230654500000000.00;359343339.298353;0.00000000000003456485
0.5;FALSE;2;0.1;14481112568146.80;50053747.790343;0.00000345648495961860
0.5;FALSE;2;0.2;-14496492516181.00;-100213816.698807;0.00000691296991923720
0.5;FALSE;2;0.3;-16211014025873.00;-168099378.481788;0.00001036945487885580
0.5;FALSE;2;0.4;-16141475044838.30;-223171062.874170;0.00001382593983847440
0.5;FALSE;2;0.5;-15854160971976.40;-273998344.735043;0.00001728242479809300
0.5;FALSE;2;0.6;-15560034469047.00;-322698150.680448;0.00002073890975771160
0.5;FALSE;2;0.7;-15291888060526.10;-369993267.597657;0.00002419539471733020
0.5;FALSE;2;0.8;-15050970235530.40;-416187617.974223;0.00002765187967694880
0.5;FALSE;2;0.9;-14832833697607.50;-461425199.258740;0.00003110836463656740
0.5;FALSE;2;1;-14632856254471.70;-505782475.598423;0.00003456484959618600
0.75;FALSE;2;0.01;13629769382328300000000.00;471110928.730880;0.00000000000003456485
0.75;FALSE;2;0.1;66962961919906.20;231456470.727669;0.00000345648495961860
0.75;FALSE;2;0.2;-4925133597435.98;-34047300.407299;0.00000691296991923720
0.75;FALSE;2;0.3;-13580944779710.40;-140826994.105439;0.00001036945487885580
0.75;FALSE;2;0.4;-15075361527852.30;-208431041.527337;0.00001382593983847440
0.75;FALSE;2;0.5;-15285228028280.90;-264165803.920468;0.00001728242479809300
0.75;FALSE;2;0.6;-15177860298026.00;-314772275.035916;0.00002073890975771160
0.75;FALSE;2;0.7;-14984518412732.70;-362556337.645169;0.00002419539471733020
0.75;FALSE;2;0.8;-14772408193656.00;-408484853.909748;0.00002765187967694880
0.75;FALSE;2;0.9;-14562564458414.50;-453017565.215876;0.00003110836463656740
0.75;FALSE;2;1;-14361335337204.70;-496397395.930873;0.00003456484959618600
0.25;FALSE;9;0.01;5852950704258390000000.00;202306360.786582;0.00000000000003456485
0.25;FALSE;9;0.1;-42654993626746.00;-147436343.923475;0.00000345648495961860
0.25;FALSE;9;0.2;-44348043165744.90;-306576688.381827;0.00000691296991923720
0.25;FALSE;9;0.3;-43800457853773.90;-454186871.387933;0.00001036945487885580
0.25;FALSE;9;0.4;-43356881193442.40;-599449630.964417;0.00001382593983847440
0.25;FALSE;9;0.5;-43020375603929.30;-743496406.160623;0.00001728242479809300
0.25;FALSE;9;0.6;-42750868483046.40;-886606403.533695;0.00002073890975771160
0.25;FALSE;9;0.7;-42523601179813.00;-1028875315.347900;0.00002419539471733020
0.25;FALSE;9;0.8;-42324154570424.60;-1170342429.609960;0.00002765187967694880
0.25;FALSE;9;0.9;-42143902676609.90;-1311027891.671990;0.00003110836463656740
0.25;FALSE;9;1;-41977354358842.20;-1450940939.859180;0.00003456484959618600
0.5;FALSE;9;0.01;10396207203411500000000.00;359343338.356704;0.00000000000003456485
0.5;FALSE;9;0.1;-12761840805947.60;-44111110.802805;0.00000345648495961860
0.5;FALSE;9;0.2;-41739445890275.40;-288543533.885102;0.00000691296991923720
0.5;FALSE;9;0.3;-43453967399967.40;-450593954.261232;0.00001036945487885580
0.5;FALSE;9;0.4;-43384428418932.60;-599830497.246762;0.00001382593983847440
0.5;FALSE;9;0.5;-43097114346070.80;-744822637.700783;0.00001728242479809300
0.5;FALSE;9;0.6;-42802987843141.40;-887687302.239336;0.00002073890975771160
0.5;FALSE;9;0.7;-42534841434620.40;-1029147277.749690;0.00002419539471733020
0.5;FALSE;9;0.8;-42293923609624.70;-1169506486.719410;0.00002765187967694880
0.5;FALSE;9;0.9;-42075787071701.90;-1308908926.597070;0.00003110836463656740
0.5;FALSE;9;1;-41875809628566.00;-1447431061.529900;0.00003456484959618600
0.75;FALSE;9;0.01;13629769355085400000000.00;471110927.789231;0.00000000000003456485
0.75;FALSE;9;0.1;39720008545811.80;137291612.134521;0.00000345648495961860
0.75;FALSE;9;0.2;-32168086971530.40;-222377017.593595;0.00000691296991923720
0.75;FALSE;9;0.3;-40823898153804.80;-423321569.884883;0.00001036945487885580
0.75;FALSE;9;0.4;-42318314901946.60;-585090475.899929;0.00001382593983847440
0.75;FALSE;9;0.5;-42528181402375.30;-734990096.886208;0.00001728242479809300
0.75;FALSE;9;0.6;-42420813672120.40;-879761426.594803;0.00002073890975771160
0.75;FALSE;9;0.7;-42227471786827.00;-1021710347.797200;0.00002419539471733020
0.75;FALSE;9;0.8;-42015361567750.40;-1161803722.654930;0.00002765187967694880
0.75;FALSE;9;0.9;-41805517832508.90;-1300501292.554210;0.00003110836463656740
0.75;FALSE;9;1;-41604288711299.10;0.000035;-1438045981.86235000000000000000
